[rosmaster.main][INFO] 2022-06-18 05:11:36,808: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-06-18 05:11:36,808: Starting ROS Master Node
[xmlrpc][INFO] 2022-06-18 05:11:36,809: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-06-18 05:11:36,809: Started XML-RPC server [http://itodaisuke:11311/]
[rosmaster.master][INFO] 2022-06-18 05:11:36,809: Master initialized: port[11311], uri[http://itodaisuke:11311/]
[xmlrpc][INFO] 2022-06-18 05:11:36,810: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-06-18 05:11:36,884: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:11:36,885: +PARAM [/roslaunch/uris/host_itodaisuke__35189] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:11:36,996: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:11:36,996: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:11:37,000: +SERVICE [/rosout/get_loggers] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:11:37,001: +SERVICE [/rosout/set_logger_level] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:11:37,002: +PUB [/rosout_agg] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:11:37,003: +SUB [/rosout] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:15:04,308: -PUB [/rosout_agg] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:15:04,308: -SUB [/rosout] /rosout http://itodaisuke:40673/
[rosmaster.master][INFO] 2022-06-18 05:15:04,309: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itodaisuke:40679
[rosmaster.master][INFO] 2022-06-18 05:15:04,309: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itodaisuke:40679
[rosmaster.main][INFO] 2022-06-18 05:15:04,342: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-06-18 05:15:04,342: stopping master...
[rospy.core][INFO] 2022-06-18 05:15:04,342: signal_shutdown [atexit]
