[rosmaster.main][INFO] 2022-06-18 05:36:05,401: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-06-18 05:36:05,401: Starting ROS Master Node
[xmlrpc][INFO] 2022-06-18 05:36:05,402: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-06-18 05:36:05,402: Started XML-RPC server [http://itodaisuke:11311/]
[rosmaster.master][INFO] 2022-06-18 05:36:05,402: Master initialized: port[11311], uri[http://itodaisuke:11311/]
[xmlrpc][INFO] 2022-06-18 05:36:05,402: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-06-18 05:36:05,483: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:36:05,483: +PARAM [/roslaunch/uris/host_itodaisuke__34669] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:36:05,598: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:36:05,598: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:36:05,658: +SERVICE [/rosout/get_loggers] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:36:05,658: +SERVICE [/rosout/set_logger_level] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:36:05,659: +PUB [/rosout_agg] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:36:05,661: +SUB [/rosout] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:37:28,203: -PUB [/rosout_agg] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:37:28,203: -SUB [/rosout] /rosout http://itodaisuke:38049/
[rosmaster.master][INFO] 2022-06-18 05:37:28,204: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itodaisuke:36443
[rosmaster.master][INFO] 2022-06-18 05:37:28,204: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itodaisuke:36443
[rosmaster.main][INFO] 2022-06-18 05:37:28,234: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-06-18 05:37:28,234: stopping master...
[rospy.core][INFO] 2022-06-18 05:37:28,234: signal_shutdown [atexit]
