[rosmaster.main][INFO] 2022-06-18 05:09:52,251: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-06-18 05:09:52,252: Starting ROS Master Node
[xmlrpc][INFO] 2022-06-18 05:09:52,252: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-06-18 05:09:52,253: Started XML-RPC server [http://itodaisuke:11311/]
[rosmaster.master][INFO] 2022-06-18 05:09:52,253: Master initialized: port[11311], uri[http://itodaisuke:11311/]
[xmlrpc][INFO] 2022-06-18 05:09:52,253: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-06-18 05:09:52,327: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:09:52,328: +PARAM [/roslaunch/uris/host_itodaisuke__42119] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:09:52,438: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:09:52,438: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-06-18 05:09:52,443: +SERVICE [/rosout/get_loggers] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:09:52,443: +SERVICE [/rosout/set_logger_level] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:09:52,444: +PUB [/rosout_agg] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:09:52,446: +SUB [/rosout] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:11:02,130: -PUB [/rosout_agg] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:11:02,131: -SUB [/rosout] /rosout http://itodaisuke:35061/
[rosmaster.master][INFO] 2022-06-18 05:11:02,131: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itodaisuke:52183
[rosmaster.master][INFO] 2022-06-18 05:11:02,132: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itodaisuke:52183
[rosmaster.main][INFO] 2022-06-18 05:11:02,232: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-06-18 05:11:02,232: stopping master...
[rospy.core][INFO] 2022-06-18 05:11:02,232: signal_shutdown [atexit]
