x座標: 2002 | y座標: 496
x座標: 1816 | y座標: 496
x座標: 1665 | y座標: 496
x座標: 1445 | y座標: 493
x座標: 1291 | y座標: 473
x座標: 1134 | y座標: 473
x座標: 1154 | y座標: 318
x座標: 954 | y座標: 305
x座標: 739 | y座標: 302
x座標: 325 | y座標: 312
x座標: 260 | y座標: 578
x座標: 252 | y座標: 751
x座標: 255 | y座標: 909
x座標: 261 | y座標: 1109
x座標: 250 | y座標: 1426
x座標: 251 | y座標: 1565
x座標: 232 | y座標: 1724
x座標: 189 | y座標: 1975
x座標: 664 | y座標: 1572
x座標: 663 | y座標: 1810
x座標: 1112 | y座標: 1300
x座標: 1125 | y座標: 1537
x座標: 1198 | y座標: 1734
x座標: 1438 | y座標: 1555
x座標: 1480 | y座標: 1380
x座標: 1463 | y座標: 1911
x座標: 1904 | y座標: 1906
x座標: 1894 | y座標: 1528
x座標: 1871 | y座標: 1068
x座標: 2049 | y座標: 1072
x座標: 2023 | y座標: 1262
x座標: 2199 | y座標: 1200
x座標: 2432 | y座標: 914
x座標: 2872 | y座標: 891
x座標: 3375 | y座標: 894
x座標: 3589 | y座標: 908
x座標: 3626 | y座標: 1148
x座標: 3622 | y座標: 1586
x座標: 3622 | y座標: 1586
x座標: 3212 | y座標: 1790
x座標: 3262 | y座標: 1479
x座標: 2775 | y座標: 1881
x座標: 1861 | y座標: 2082
x座標: 3706 | y座標: 2101
x座標: 3020 | y座標: 2105
x座標: 3018 | y座標: 2083
x座標: 993 | y座標: 2045
x座標: 348 | y座標: 76
x座標: 830 | y座標: 81
x座標: 3363 | y座標: 44
